Designator,Footprint,Quantity,Value,LCSC Part #
D1,D_SMF,1,SMF16CA,
"D10, D11, D2, D3, D4, D5, D6, D7, D8, D9",D_MiniMELF,10,ZMM16V,
J1,MOLEX_39301200,1,39301200,
"Q1, Q10, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",PQFN-8-EP_6x5mm_P1.27mm_Generic,10,SM4401PSKPC-TRG,
"R1, R11, R13, R15, R17, R2, R3, R5, R7, R9",0402,10,100k,
"R10, R12, R14, R16, R4, R6, R8",0402,7,100R,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,ULN2003ADR,
